transactionId,fromAccountId,toAccountId,amount,timestamp,fromLatitude,fromLongitude,toLatitude,toLongitude
tx001,acc049,acc034,2864,2025-06-15T09:24:00,52.52,13.4,52.52,13.4
tx002,acc036,acc054,258,2025-06-15T09:23:00,35.68,139.69,35.68,139.69
tx003,acc097,acc049,2966,2025-06-15T09:07:00,35.68,139.69,35.68,139.69
tx004,acc054,acc049,429,2025-06-15T09:24:00,35.68,139.69,35.68,139.69
tx005,acc004,acc032,1733,2025-06-15T12:00:00,40.71,-74.01,-6.21,106.85
tx006,acc004,acc020,2054,2025-06-15T12:01:00,48.85,2.35,55.75,37.62
tx007,acc004,acc086,1037,2025-06-15T12:02:00,-6.21,106.85,51.51,-0.13
tx008,acc060,acc090,2199,2025-06-15T12:00:00,52.52,13.4,48.85,2.35
tx009,acc060,acc078,1038,2025-06-15T12:01:00,48.85,2.35,35.68,139.69
tx010,acc060,acc014,4840,2025-06-15T12:02:00,40.71,-74.01,35.68,139.69
tx011,acc074,acc087,3174,2025-06-15T12:00:00,37.77,-122.42,51.51,-0.13
tx012,acc074,acc010,4950,2025-06-15T12:01:00,51.51,-0.13,34.05,-118.24
tx013,acc074,acc090,2570,2025-06-15T12:02:00,-6.21,106.85,34.05,-118.24
tx014,acc073,acc006,455,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx015,acc073,acc069,538,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx016,acc085,acc048,170,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx017,acc085,acc065,763,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
